,PDD,
,Closing Price,Volume
9/8/2020 16:00,81.71,8166460
9/9/2020 16:00,84.65,6250539
9/10/2020 16:00,83.87,6663596
9/11/2020 16:00,84.74,5492457
9/14/2020 16:00,85.28,5543323
9/15/2020 16:00,82.65,6435188
9/16/2020 16:00,82.65,4496985
9/17/2020 16:00,81.02,5962877
9/18/2020 16:00,79.81,9860767
9/21/2020 16:00,79.96,6677542
9/22/2020 16:00,80.04,4427019
9/23/2020 16:00,76.64,5926872
9/24/2020 16:00,75.29,13385065
9/25/2020 16:00,74.33,7403325
9/28/2020 16:00,75.1,7400255
9/29/2020 16:00,73.7,6642965
9/30/2020 16:00,74.15,5783266
10/1/2020 16:00,74.43,4414426
10/2/2020 16:00,71.4,5843793
10/5/2020 16:00,72.07,7996294
10/6/2020 16:00,72.99,7212778
10/7/2020 16:00,74.8,6574280
10/8/2020 16:00,73.41,4181713
10/9/2020 16:00,79.54,13997291
10/12/2020 16:00,84.72,11398293
10/13/2020 16:00,84.65,4634683
10/14/2020 16:00,82.66,4377037
10/15/2020 16:00,82.79,3369633
10/16/2020 16:00,84.02,3644208
10/19/2020 16:00,84.15,4166828
10/20/2020 16:00,89.07,8803088
10/21/2020 16:00,90.23,6400443
10/22/2020 16:00,87.77,5905541
10/23/2020 16:00,86.91,2829657
10/26/2020 16:00,86.92,2594653
10/27/2020 16:00,90.31,3467292
10/28/2020 16:00,89.99,3965152
10/29/2020 16:00,94.12,8639552
10/30/2020 16:00,89.98,4870273
11/2/2020 16:00,91.62,4416223
11/3/2020 16:00,97.72,11044248
11/4/2020 16:00,110.26,11337363
11/5/2020 16:00,113.07,8605124
11/6/2020 16:00,114.53,4215915
11/9/2020 16:00,106.14,8765236
11/10/2020 16:00,103.09,9735870
11/11/2020 16:00,111.46,11958270
11/12/2020 16:00,134.21,32111996
11/13/2020 16:00,151.29,29516115
11/16/2020 16:00,142.03,12832347
11/17/2020 16:00,132.37,18008546
11/18/2020 16:00,132.38,19277258
11/19/2020 16:00,137.66,10866898
11/20/2020 16:00,143.55,11635463
11/23/2020 16:00,141.05,10989090
11/24/2020 16:00,143.94,7031616
11/25/2020 16:00,135.9,9415373
11/27/2020 13:00,144.05,6684329
11/30/2020 16:00,138.81,19573293
12/1/2020 16:00,136.54,5092413
12/2/2020 16:00,144.06,9966389
12/3/2020 16:00,145.16,6314129
12/4/2020 16:00,146.36,5729581
12/7/2020 16:00,146.79,6352500
12/8/2020 16:00,157.49,9912914
12/9/2020 16:00,147.57,11109293
12/10/2020 16:00,154.34,6339538
12/11/2020 16:00,147.65,8227533
12/14/2020 16:00,142.12,7699897
12/15/2020 16:00,142.03,5219470
12/16/2020 16:00,145.47,4248451
12/17/2020 16:00,149.95,5915330
12/18/2020 16:00,149.37,4916238
12/21/2020 16:00,146.87,4299854
12/22/2020 16:00,139.02,6044501
12/23/2020 16:00,140.25,5728535
12/24/2020 13:00,152.75,13847661
12/28/2020 16:00,143.8,7478452
12/29/2020 16:00,166.19,25217318
12/30/2020 16:00,179.11,23332010
12/31/2020 16:00,177.67,12490032
1/4/2021 16:00,166.78,10987212
1/5/2021 16:00,187.2,16165814
1/6/2021 16:00,176.75,11873087
1/7/2021 16:00,180.12,8604167
