Company,Ticker,,,,,,,,,,,,,,,,,,,
Nvidia Corporation,NVDA,,End,1/8/21,,,,,,,,,,,,,,,,
Pinduoduo Inc,PDD,,Start,1/8/19,,,,,,,,,,,,,,,,
Netflix Inc,NFLX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NVDA,,PDD,,NFLX,,,,,,,,,,,,,,,
,Closing Price,Volume,Closing Price,Volume,Closing Price,Volume,,,,,,,,,,,,,,
1/8/2019 16:00:00,139.83,19650429,24,3355000,320.27,15359180,,,Closing Prices,,,,,,Closing Prices,,,,,
1/9/2019 16:00:00,142.58,15431475,25.54,7322212,319.96,13343152,,,NVDA,,PDD,,NFLX,,NVDA,,PDD,,NFLX,
1/10/2019 16:00:00,145.23,13078906,26.38,4956502,324.66,13472475,,,Date,Close,Date,Close,Date,Close,Date,Volume,Date,Volume,Date,Volume
7/28/2020 16:00:00,451.47,118042,83.77,5910735,502.11,38619,,,7/23/2020 16:00:00,405.19,7/23/2020 16:00:00,79.05,7/23/2020 16:00:00,477.58,7/23/2020 16:00:00,10291532,7/23/2020 16:00:00,6022096,7/23/2020 16:00:00,7722034
7/29/2020 16:00:00,418.62,7112692,84.03,4037334,484.48,6611769,,,7/24/2020 16:00:00,407.78,7/24/2020 16:00:00,78.95,7/24/2020 16:00:00,480.45,7/24/2020 16:00:00,11832300,7/24/2020 16:00:00,9860729,7/24/2020 16:00:00,7746247
7/30/2020 16:00:00,424.56,7722004,84.94,3433005,485.8,6608569,,,7/27/2020 16:00:00,416.86,7/27/2020 16:00:00,83.44,7/27/2020 16:00:00,495.65,7/27/2020 16:00:00,7303255,7/27/2020 16:00:00,8596458,7/27/2020 16:00:00,7863069
7/31/2020 16:00:00,424.59,9657150,91.8,12582788,488.88,5924310,,,7/28/2020 16:00:00,451.47,7/28/2020 16:00:00,83.77,7/28/2020 16:00:00,502.11,7/28/2020 16:00:00,118042,7/28/2020 16:00:00,5910735,7/28/2020 16:00:00,38619
8/3/2020 16:00:00,440.41,10325456,96.03,7144719,498.62,5876190,,,7/29/2020 16:00:00,418.62,7/29/2020 16:00:00,84.03,7/29/2020 16:00:00,484.48,7/29/2020 16:00:00,7112692,7/29/2020 16:00:00,4037334,7/29/2020 16:00:00,6611769
8/4/2020 16:00:00,449.11,7758390,94.02,4657815,509.64,5607968,,,7/30/2020 16:00:00,424.56,7/30/2020 16:00:00,84.94,7/30/2020 16:00:00,485.8,7/30/2020 16:00:00,7722004,7/30/2020 16:00:00,3433005,7/30/2020 16:00:00,6608569
8/5/2020 16:00:00,451.47,6262493,97.46,5061842,502.11,4313526,,,7/31/2020 16:00:00,424.59,7/31/2020 16:00:00,91.8,7/31/2020 16:00:00,488.88,7/31/2020 16:00:00,9657150,7/31/2020 16:00:00,12582788,7/31/2020 16:00:00,5924310
8/6/2020 16:00:00,453.42,6107892,91.62,6344840,509.08,3725861,,,8/3/2020 16:00:00,440.41,8/3/2020 16:00:00,96.03,8/3/2020 16:00:00,498.62,8/3/2020 16:00:00,10325456,8/3/2020 16:00:00,7144719,8/3/2020 16:00:00,5876190
8/7/2020 16:00:00,447.98,8562899,88.2,7389279,494.73,5910348,,,8/4/2020 16:00:00,449.11,8/4/2020 16:00:00,94.02,8/4/2020 16:00:00,509.64,8/4/2020 16:00:00,7758390,8/4/2020 16:00:00,4657815,8/4/2020 16:00:00,5607968
8/10/2020 16:00:00,446.6,10694898,87.53,5482407,483.38,4691185,,,8/5/2020 16:00:00,451.47,8/5/2020 16:00:00,97.46,8/5/2020 16:00:00,502.11,8/5/2020 16:00:00,6262493,8/5/2020 16:00:00,5061842,8/5/2020 16:00:00,4313526
8/11/2020 16:00:00,434,8862763,87.27,5623192,466.93,7329226,,,8/6/2020 16:00:00,453.42,8/6/2020 16:00:00,91.62,8/6/2020 16:00:00,509.08,8/6/2020 16:00:00,6107892,8/6/2020 16:00:00,6344840,8/6/2020 16:00:00,3725861
8/12/2020 16:00:00,457.61,11623573,90.11,5413311,475.47,5441243,,,8/7/2020 16:00:00,447.98,8/7/2020 16:00:00,88.2,8/7/2020 16:00:00,494.73,8/7/2020 16:00:00,8562899,8/7/2020 16:00:00,7389279,8/7/2020 16:00:00,5910348
8/13/2020 16:00:00,457.72,9361489,88.85,3559919,481.33,3008933,,,8/10/2020 16:00:00,446.6,8/10/2020 16:00:00,87.53,8/10/2020 16:00:00,483.38,8/10/2020 16:00:00,10694898,8/10/2020 16:00:00,5482407,8/10/2020 16:00:00,4691185
8/14/2020 16:00:00,462.56,9160904,85.04,6059381,482.68,2943487,,,8/11/2020 16:00:00,434,8/11/2020 16:00:00,87.27,8/11/2020 16:00:00,466.93,8/11/2020 16:00:00,8862763,8/11/2020 16:00:00,5623192,8/11/2020 16:00:00,7329226
8/17/2020 16:00:00,493.48,15532523,89.18,10747755,482.35,2423545,,,8/12/2020 16:00:00,457.61,8/12/2020 16:00:00,90.11,8/12/2020 16:00:00,475.47,8/12/2020 16:00:00,11623573,8/12/2020 16:00:00,5413311,8/12/2020 16:00:00,5441243
8/18/2020 16:00:00,490.43,12586155,91.59,7033091,491.87,3505518,,,8/13/2020 16:00:00,457.72,8/13/2020 16:00:00,88.85,8/13/2020 16:00:00,481.33,8/13/2020 16:00:00,9361489,8/13/2020 16:00:00,3559919,8/13/2020 16:00:00,3008933
8/19/2020 16:00:00,485.54,15565558,95.94,12458244,484.53,3156218,,,8/14/2020 16:00:00,462.56,8/14/2020 16:00:00,85.04,8/14/2020 16:00:00,482.68,8/14/2020 16:00:00,9160904,8/14/2020 16:00:00,6059381,8/14/2020 16:00:00,2943487
8/20/2020 16:00:00,485.64,23034656,97.13,12911404,497.9,5132480,,,8/17/2020 16:00:00,493.48,8/17/2020 16:00:00,89.18,8/17/2020 16:00:00,482.35,8/17/2020 16:00:00,15532523,8/17/2020 16:00:00,10747755,8/17/2020 16:00:00,2423545
8/21/2020 16:00:00,507.34,24996738,84,40084658,492.31,3921293,,,8/18/2020 16:00:00,490.43,8/18/2020 16:00:00,91.59,8/18/2020 16:00:00,491.87,8/18/2020 16:00:00,12586155,8/18/2020 16:00:00,7033091,8/18/2020 16:00:00,3505518
8/24/2020 16:00:00,508.81,12264105,83.16,15597325,488.81,4762183,,,8/19/2020 16:00:00,485.54,8/19/2020 16:00:00,95.94,8/19/2020 16:00:00,484.53,8/19/2020 16:00:00,15565558,8/19/2020 16:00:00,12458244,8/19/2020 16:00:00,3156218
8/25/2020 16:00:00,510,7226920,87.24,16341462,490.58,5727721,,,8/20/2020 16:00:00,485.64,8/20/2020 16:00:00,97.13,8/20/2020 16:00:00,497.9,8/20/2020 16:00:00,23034656,8/20/2020 16:00:00,12911404,8/20/2020 16:00:00,5132480
8/26/2020 16:00:00,510.92,8031073,89.25,11227551,547.53,20373681,,,8/21/2020 16:00:00,507.34,8/21/2020 16:00:00,84,8/21/2020 16:00:00,492.31,8/21/2020 16:00:00,24996738,8/21/2020 16:00:00,40084658,8/21/2020 16:00:00,3921293
8/27/2020 16:00:00,505.13,7940073,88.82,7678254,526.27,9062912,,,8/24/2020 16:00:00,508.81,8/24/2020 16:00:00,83.16,8/24/2020 16:00:00,488.81,8/24/2020 16:00:00,12264105,8/24/2020 16:00:00,15597325,8/24/2020 16:00:00,4762183
