Date,Closing Price,Volume
12/6/2019 16:00,307.35,4459684
12/9/2019 16:00,302.5,5766006
12/10/2019 16:00,293.12,10481239
12/11/2019 16:00,298.93,5607155
12/12/2019 16:00,298.44,4771404
12/13/2019 16:00,298.5,3883069
12/16/2019 16:00,304.21,4660166
12/17/2019 16:00,315.48,10437127
12/18/2019 16:00,320.8,11210737
12/19/2019 16:00,332.22,9833355
12/20/2019 16:00,336.9,9923260
12/23/2019 16:00,333.1,5767937
12/24/2019 13:00,333.2,2019322
12/26/2019 16:00,332.63,3595854
12/27/2019 16:00,329.09,5037156
12/30/2019 16:00,323.31,4315267
12/31/2019 16:00,323.57,3714837
1/2/2020 16:00,329.81,4348493
1/3/2020 16:00,325.9,3795466
1/6/2020 16:00,335.83,5668577
1/7/2020 16:00,330.75,4742458
1/8/2020 16:00,339.26,7109117
1/9/2020 16:00,335.66,4717430
1/10/2020 16:00,329.05,4720540
1/13/2020 16:00,338.92,6296174
1/14/2020 16:00,338.69,7201544
1/15/2020 16:00,339.07,5158035
1/16/2020 16:00,338.62,5015997
1/17/2020 16:00,339.67,6066547
1/21/2020 16:00,338.11,14350322
1/22/2020 16:00,326,21729959
1/23/2020 16:00,349.6,18200293
1/24/2020 16:00,353.16,17939681
1/27/2020 16:00,342.88,7709482
1/28/2020 16:00,348.52,6821581
1/29/2020 16:00,343.16,7649183
1/30/2020 16:00,347.74,5328136
1/31/2020 16:00,345.09,5230001
2/3/2020 16:00,358,6674885
2/4/2020 16:00,369.01,7161451
2/5/2020 16:00,369.67,6437026
2/6/2020 16:00,366.95,3920428
2/7/2020 16:00,366.77,4385227
2/10/2020 16:00,371.07,5294138
2/11/2020 16:00,373.69,4772870
2/12/2020 16:00,380.01,4624772
2/13/2020 16:00,381.4,4485383
2/14/2020 16:00,380.4,3736266
2/18/2020 16:00,387.78,5180400
2/19/2020 16:00,386.19,4896368
2/20/2020 16:00,386,4079425
2/21/2020 16:00,380.07,3935618
2/24/2020 16:00,368.7,6936418
2/25/2020 16:00,360.09,6481243
2/26/2020 16:00,379.24,8961126
2/27/2020 16:00,371.71,10967699
2/28/2020 16:00,369.03,11178572
3/2/2020 16:00,381.05,6997891
3/3/2020 16:00,368.77,8364623
3/4/2020 16:00,383.79,5487340
3/5/2020 16:00,372.78,8746985
3/6/2020 16:00,368.97,8147165
3/9/2020 16:00,346.49,7405458
3/10/2020 16:00,364.13,7604444
3/11/2020 16:00,349.92,6058782
3/12/2020 16:00,315.25,12071591
3/13/2020 16:00,336.3,9458197
3/16/2020 16:00,298.84,10559940
3/17/2020 16:00,319.75,10013913
3/18/2020 16:00,315.47,12593647
3/19/2020 16:00,332.03,10615957
3/20/2020 16:00,332.83,10853846
3/23/2020 16:00,360.27,13449378
3/24/2020 16:00,357.32,11638683
3/25/2020 16:00,342.39,8767171
3/26/2020 16:00,342.39,80137
3/27/2020 16:00,357.12,7948775
3/30/2020 16:00,370.96,8621964
3/31/2020 16:00,375.5,9366464
4/1/2020 16:00,364.08,6672454
4/2/2020 16:00,370.08,4592477
4/3/2020 16:00,361.76,4860768
4/6/2020 16:00,379.96,8183921
4/7/2020 16:00,372.28,7046438
4/8/2020 16:00,371.12,6908879
4/9/2020 16:00,370.72,7711296
4/13/2020 16:00,396.72,11692922
4/14/2020 16:00,413.55,11580983
4/15/2020 16:00,426.75,13561222
4/16/2020 16:00,439.17,16128666
4/17/2020 16:00,422.96,12616258
4/20/2020 16:00,437.49,12655818
4/21/2020 16:00,433.83,23177550
4/22/2020 16:00,421.42,21123773
4/23/2020 16:00,426.7,13952330
4/24/2020 16:00,424.99,8670362
4/27/2020 16:00,421.38,6277480
4/28/2020 16:00,403.83,10101233
4/29/2020 16:00,411.89,9693137
4/30/2020 16:00,419.85,7953975
5/1/2020 16:00,415.27,8299858
5/4/2020 16:00,428.15,7799058
5/5/2020 16:00,424.68,6286293
5/6/2020 16:00,434.26,6660737
5/7/2020 16:00,436.53,5650281
5/8/2020 16:00,435.55,5054308
5/11/2020 16:00,440.52,5486037
5/12/2020 16:00,431.82,4598211
5/13/2020 16:00,438.27,7014563
5/14/2020 16:00,441.95,9007467
5/15/2020 16:00,454.19,7243998
5/18/2020 16:00,452.58,7780309
5/19/2020 16:00,451.04,4810487
5/20/2020 16:00,451.04,23076
5/21/2020 16:00,436.25,9117325
5/22/2020 16:00,429.32,5422334
5/26/2020 16:00,414.77,7881115
5/27/2020 16:00,419.89,10446339
5/28/2020 16:00,413.44,5660160
5/29/2020 16:00,419.73,5270484
6/1/2020 16:00,425.92,3748573
6/2/2020 16:00,427.31,3494801
6/3/2020 16:00,421.97,4316044
6/4/2020 16:00,414.33,5410529
6/5/2020 16:00,419.6,5099561
6/8/2020 16:00,419.49,5851453
6/9/2020 16:00,434.05,6796999
6/10/2020 16:00,434.48,4896893
6/11/2020 16:00,425.56,7462868
6/12/2020 16:00,418.07,6461127
6/15/2020 16:00,425.5,4471499
6/16/2020 16:00,436.13,5514016
6/17/2020 16:00,447.77,6529568
6/18/2020 16:00,449.87,4277627
6/19/2020 16:00,453.72,5933651
6/22/2020 16:00,468.04,6272105
6/23/2020 16:00,466.26,5948436
6/24/2020 16:00,457.85,4826191
6/25/2020 16:00,465.91,6789555
6/26/2020 16:00,443.4,6804726
6/29/2020 16:00,447.24,4843978
6/30/2020 16:00,455.04,4198545
7/1/2020 16:00,485.64,9705870
7/2/2020 16:00,476.89,6351485
7/6/2020 16:00,493.81,7838990
7/7/2020 16:00,493.16,5669870
7/8/2020 16:00,502.78,5691682
7/9/2020 16:00,507.76,5840541
